episode,reward
1,-2.4899971
2,-2.3899972
3,-11.350187
4,-1.9999976
5,-4672.544
6,-1.8299978
7,-1.3899982
8,-3.0499978
9,-0.47999895
10,-0.12999928
11,-1.0499985
12,-1.2799983
13,-0.7599987
14,-0.22999918
15,-1.8499978
16,-2.609997
17,0.1600005
18,-0.29999912
19,-7.5501003
20,-1.8499978
21,-0.37999904
22,-1.2099984
23,-0.039999366
24,-1.4699981
25,-0.019999385
26,-0.419999
27,0.33000034
28,-8.820129
29,-0.14999926
30,-0.55999887
31,0.34000033
32,0.25000042
33,-0.3099991
34,-0.009999394
35,0.41000026
36,-0.09999931
37,-0.039999366
38,0.13000053
39,-0.2099992
40,-0.33999908
41,-0.79999864
42,0.31000036
43,0.35000032
44,-0.11999929
45,0.1600005
46,-0.34999907
47,0.20000046
48,0.13000053
49,0.11000055
50,0.45000023
51,-0.5099989
52,-0.33999908
53,0.2600004
54,0.43000025
55,0.25000042
56,0.050000608
57,-0.06999934
58,0.020000637
59,-1.0699985
60,0.1700005
61,-0.009999394
62,-0.039999366
63,0.4900002
64,0.34000033
65,0.33000034
66,0.32000035
67,0.1600005
68,-0.15999925
69,0.09000057
70,0.35000032
71,-0.029999375
72,0.42000026
73,0.22000045
74,0.4800002
75,0.23000044
76,0.3700003
77,0.18000048
78,0.45000023
79,-0.3299991
80,0.2800004
81,0.1600005
82,-1226.2261
83,0.050000608
84,0.11000055
85,0.11000055
86,0.14000052
87,-1.2399983
88,-18.04034
89,-2.1499975
90,-0.29999912
91,0.31000036
92,0.30000037
93,0.08000058
94,0.11000055
95,0.08000058
96,-0.1099993
97,-0.37999904
98,-0.5099989
99,-2.549997
100,0.50000024
101,-1.2999983
102,-4.03002
103,-0.1099993
104,-0.33999908
105,0.010000646
106,-0.019999385
107,-1.6899979
108,0.2600004
109,-0.56999886
110,0.23000044
111,0.4900002
112,-0.08999932
113,0.0600006
114,0.2800004
115,0.32000035
116,0.14000052
117,0.34000033
118,-4.3100266
119,-0.039999366
120,-0.25999916
121,0.1700005
122,0.23000044
123,0.3800003
124,0.45000023
125,-4.810038
126,0.32000035
127,0.44000024
128,0.32000035
129,0.43000025
130,0.22000045
131,0.020000637
132,0.5700002
133,-0.019999385
134,0.30000037
135,0.35000032
136,0.24000043
137,0.09000057
138,0.18000048
139,0.31000036
140,-0.2099992
141,-2.3899972
142,0.32000035
143,0.42000026
144,0.59000015
145,0.13000053
146,0.35000032
147,-0.28999913
148,-2.1999974
149,0.4800002
150,-0.06999934
151,0.12000054
152,0.010000646
153,0.5100002
154,0.08000058
155,0.46000022
156,0.30000037
157,0.43000025
158,-0.09999931
159,0.3600003
160,-0.049999356
161,0.10000056
162,0.43000025
163,0.24000043
164,0.43000025
165,0.5600002
166,0.4900002
167,0.22000045
168,-0.25999916
169,0.3800003
170,-0.429999
171,0.32000035
172,0.040000618
173,0.3700003
174,-0.3199991
175,0.43000025
176,0.14000052
177,0.44000024
178,-0.049999356
179,0.15000051
180,0.1600005
181,0.07000059
182,0.25000042
183,0.2600004
184,0.5600002
185,0.18000048
186,0.14000052
187,-0.12999928
188,0.43000025
189,0.25000042
190,-0.029999375
191,0.2600004
192,0.5100002
193,-0.029999375
194,0.4900002
195,0.25000042
196,0.3800003
197,0.50000024
198,-4.720036
199,0.4700002
200,0.4900002
201,-0.59999883
202,0.42000026
203,0.4700002
204,0.40000027
205,0.60000014
206,0.22000045
207,0.6500001
208,0.59000015
209,0.50000024
210,0.3600003
211,-1.1499984
212,0.44000024
213,0.35000032
214,0.30000037
215,0.39000028
216,0.3800003
217,0.34000033
218,0.5600002
219,-4.2100244
220,0.25000042
221,0.18000048
222,0.21000046
223,0.45000023
224,0.5200002
225,0.4900002
226,0.46000022
227,0.2600004
228,0.32000035
229,0.43000025
230,0.4700002
231,0.5200002
232,0.19000047
233,0.29000038
234,0.5200002
235,0.5400002
236,0.5500002
237,-0.17999923
238,0.4800002
239,0.5600002
240,0.08000058
241,0.50000024
242,0.44000024
243,0.46000022
244,0.5400002
245,0.45000023
246,0.42000026
247,-1.3099983
248,0.5400002
249,-0.06999934
250,0.33000034
251,0.31000036
252,0.43000025
253,0.3600003
254,-0.34999907
255,0.44000024
256,0.3800003
257,-0.11999929
258,0.33000034
259,-0.39999902
260,0.040000618
261,-0.07999933
262,0.4900002
263,0.4800002
264,0.5500002
265,0.20000046
266,0.3700003
267,0.61000013
268,0.4900002
269,0.60000014
270,0.11000055
271,0.30000037
272,0.5600002
273,0.41000026
274,0.12000054
275,0.4700002
276,0.10000056
277,0.4900002
278,0.42000026
279,0.2600004
280,0.5200002
281,0.4700002
282,0.5200002
283,0.5500002
284,0.10000056
285,0.3600003
286,0.6600001
287,0.4900002
288,0.40000027
289,0.43000025
290,0.5700002
291,-0.08999932
292,0.5300002
293,0.3800003
294,0.2700004
295,0.42000026
296,0.39000028
297,0.3800003
298,0.1600005
299,0.5200002
300,0.44000024
301,0.34000033
302,0.3700003
303,0.44000024
304,0.5700002
305,0.2700004
306,0.40000027
307,0.6200001
308,0.3700003
309,0.5600002
310,0.46000022
311,-0.69999874
312,0.5200002
313,0.42000026
314,0.39000028
315,0.60000014
316,0.5100002
317,0.5700002
318,0.6400001
319,-0.23999918
320,0.60000014
321,0.5500002
322,0.43000025
323,0.5100002
